date,pm25,pm10,o3,no2,so2,co,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
1/1/2014,,84.0,90.0,48.0,5.0,16.0,"Bangkok,Thailand",29.7,19.0,23.9,29.4,19.0,23.9,15.5,61.1,0.0,0,0.0,,,,,11.6,16.2,1014.2,15.2,7.3,222.8,19.2,8,,2014-01-01T06:41:32,2014-01-01T18:01:18,0.0,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
2/1/2014,,84.0,119.0,63.0,7.0,14.0,"Bangkok,Thailand",31.6,19.0,24.6,31.2,19.0,24.6,16.1,61.4,0.0,0,0.0,,,,,11.2,357.2,1013.0,13.2,7.2,236.1,20.4,8,,2014-01-02T06:41:54,2014-01-02T18:01:52,0.03,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
3/1/2014,,103.0,95.0,57.0,7.0,13.0,"Bangkok,Thailand",33.0,19.7,25.8,33.0,19.7,25.8,16.9,61.9,0.0,0,0.0,,,,,12.1,326.1,1012.0,17.4,6.0,236.6,20.4,8,,2014-01-03T06:42:16,2014-01-03T18:02:27,0.06,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
4/1/2014,,101.0,52.0,34.0,1.0,,"Bangkok,Thailand",32.2,20.0,26.2,33.1,20.0,26.5,18.1,64.0,0.0,0,0.0,,,,,12.1,342.1,1011.6,12.2,5.9,224.9,19.5,8,,2014-01-04T06:42:37,2014-01-04T18:03:01,0.09,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
5/1/2014,,95.0,69.0,52.0,6.0,14.0,"Bangkok,Thailand",32.1,22.7,26.5,33.7,22.7,26.9,18.7,63.8,0.0,0,0.0,,,,,13.9,95.8,1011.0,30.9,7.2,232.3,20.1,8,,2014-01-05T06:42:56,2014-01-05T18:03:35,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
6/1/2014,,78.0,61.0,46.0,9.0,11.0,"Bangkok,Thailand",32.7,22.2,27.1,35.2,22.2,28.0,19.7,65.5,0.0,0,0.0,,,,,12.1,89.8,1010.7,19.4,7.6,225.2,19.4,8,,2014-01-06T06:43:15,2014-01-06T18:04:10,0.16,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
7/1/2014,,88.0,64.0,55.0,8.0,14.0,"Bangkok,Thailand",32.4,23.0,27.4,36.1,23.0,28.7,21.3,70.9,0.0,0,0.0,,,,,13.9,140.6,1011.0,19.7,5.5,222.4,19.1,8,,2014-01-07T06:43:33,2014-01-07T18:04:45,0.19,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
8/1/2014,,79.0,36.0,47.0,5.0,11.0,"Bangkok,Thailand",33.2,23.2,27.9,36.4,23.2,29.6,21.6,70.9,0.0,0,0.0,,,,,10.7,74.5,1011.4,29.7,6.2,222.1,19.2,8,,2014-01-08T06:43:50,2014-01-08T18:05:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
9/1/2014,,95.0,38.0,33.0,2.0,9.0,"Bangkok,Thailand",33.1,24.0,28.4,34.3,24.0,29.1,19.7,61.8,0.0,0,0.0,,,,,22.8,74.1,1011.3,29.8,6.3,237.7,20.7,8,,2014-01-09T06:44:06,2014-01-09T18:05:54,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
10/1/2014,,67.0,48.0,33.0,2.0,11.0,"Bangkok,Thailand",31.7,23.0,27.1,32.4,23.0,27.5,18.1,58.7,0.0,0,0.0,,,,40.7,25.4,69.8,1013.5,38.4,9.1,240.1,20.7,8,,2014-01-10T06:44:21,2014-01-10T18:06:28,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
11/1/2014,,67.0,49.0,30.0,3.0,14.0,"Bangkok,Thailand",32.3,22.0,27.1,32.9,22.0,27.4,18.2,59.9,0.0,0,0.0,,,,44.3,16.2,31.9,1014.4,27.2,9.2,243.3,21.0,9,,2014-01-11T06:44:35,2014-01-11T18:07:03,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
12/1/2014,,64.0,40.0,24.0,2.0,6.0,"Bangkok,Thailand",32.6,22.2,26.9,32.2,22.2,27.0,17.2,57.2,0.0,0,0.0,,,,,18.6,355.4,1014.4,43.4,9.1,246.7,21.2,9,,2014-01-12T06:44:48,2014-01-12T18:07:37,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
13/1/2014,,60.0,44.0,23.0,1.0,9.0,"Bangkok,Thailand",30.5,22.2,26.3,30.4,22.2,26.5,17.0,57.4,0.0,0,0.0,,,,,16.7,73.1,1014.0,52.7,9.7,247.8,21.3,9,,2014-01-13T06:45:00,2014-01-13T18:08:11,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
14/1/2014,,54.0,46.0,28.0,2.0,7.0,"Bangkok,Thailand",29.2,20.2,24.6,28.9,20.2,24.6,14.8,55.4,0.0,0,0.0,,,,50.0,21.0,57.7,1015.3,62.2,9.6,249.5,21.5,9,,2014-01-14T06:45:11,2014-01-14T18:08:45,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
15/1/2014,,59.0,49.0,38.0,3.0,9.0,"Bangkok,Thailand",28.4,19.2,23.4,27.9,19.2,23.3,13.0,53.4,0.0,0,0.0,,,,,22.3,58.2,1016.3,56.3,9.6,254.7,22.2,9,,2014-01-15T06:45:21,2014-01-15T18:09:18,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
16/1/2014,,65.0,50.0,43.0,4.0,14.0,"Bangkok,Thailand",28.3,17.7,23.0,27.5,17.7,22.9,11.8,50.5,0.0,0,0.0,,,,,17.5,55.5,1016.9,27.9,8.9,246.8,21.2,9,,2014-01-16T06:45:30,2014-01-16T18:09:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
17/1/2014,,72.0,44.0,25.0,1.0,9.0,"Bangkok,Thailand",29.6,18.0,24.0,28.6,18.0,23.8,12.9,52.1,0.0,0,0.0,,,,,13.9,40.2,1016.3,17.7,8.2,249.9,21.4,9,,2014-01-17T06:45:37,2014-01-17T18:10:25,0.53,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
18/1/2014,,65.0,69.0,23.0,1.0,10.0,"Bangkok,Thailand",27.7,19.0,23.4,27.7,19.0,23.5,14.0,56.1,0.0,0,0.0,,,,,19.8,71.7,1018.0,42.3,8.9,237.8,20.7,8,,2014-01-18T06:45:44,2014-01-18T18:10:58,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
19/1/2014,,69.0,68.0,39.0,5.0,12.0,"Bangkok,Thailand",26.9,17.5,22.5,27.1,17.5,22.5,12.4,53.5,0.0,0,0.0,,,,,18.0,52.5,1018.9,24.5,8.9,234.5,20.3,8,,2014-01-19T06:45:49,2014-01-19T18:11:30,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
20/1/2014,,81.0,27.0,37.0,2.0,11.0,"Bangkok,Thailand",28.4,18.0,23.0,27.8,18.0,22.9,12.9,54.7,0.0,0,0.0,,,,,16.1,16.2,1017.4,29.3,7.6,240.4,20.8,9,,2014-01-20T06:45:53,2014-01-20T18:12:03,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
21/1/2014,,79.0,62.0,18.0,5.0,12.0,"Bangkok,Thailand",28.4,19.5,23.3,27.9,19.5,23.3,12.4,51.6,0.0,0,0.0,,,,,18.0,47.8,1017.9,27.7,8.9,240.5,20.8,9,,2014-01-21T06:45:57,2014-01-21T18:12:34,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
