iter	RMSE
0	27.58490745
1	26.54238843
2	25.52421495
3	24.56270632
4	23.66071252
5	22.86262404
6	22.01711956
7	21.2096236
8	20.48338166
9	19.82528954
10	19.1647935
11	18.52962822
12	17.93505038
13	17.33667691
14	16.79960326
15	16.3308843
16	15.84332045
17	15.3837299
18	14.96734389
19	14.57542901
20	14.22356767
21	13.85368865
22	13.52445018
23	13.22164568
24	12.95334237
25	12.6849836
26	12.42629549
27	12.17773722
28	11.95879018
29	11.73768737
30	11.53618634
31	11.33143923
32	11.15921946
33	10.99316537
34	10.8445127
35	10.69839276
36	10.55649351
37	10.42133707
38	10.30884756
39	10.20437044
40	10.10467344
41	10.01802896
42	9.932025159
43	9.848524557
44	9.762371641
45	9.687038712
46	9.621450682
47	9.554010568
48	9.490468231
49	9.423771896
50	9.367512003
51	9.316430603
52	9.256823932
53	9.209718357
54	9.166961793
55	9.128309368
56	9.094434029
57	9.053018668
58	9.017591419
59	8.98536109
60	8.959230042
61	8.928115654
62	8.897938476
63	8.872652926
64	8.835425108
65	8.804962911
66	8.773034416
67	8.741611803
68	8.712953354
69	8.689002129
70	8.66367965
71	8.641309462
72	8.618019963
73	8.584908031
74	8.551037641
75	8.529510004
76	8.513799283
77	8.496785986
78	8.4742027
79	8.450215589
80	8.430459573
81	8.412206486
82	8.392826365
83	8.377238159
84	8.356408037
85	8.336184112
86	8.317718749
87	8.295749523
88	8.277739775
89	8.26047461
90	8.243915606
91	8.227366031
92	8.213776115
93	8.201123744
94	8.183084617
95	8.169511936
96	8.158746361
97	8.147167097
98	8.134134975
99	8.118029102
100	8.109710794
101	8.096844594
102	8.083043158
103	8.07079347
104	8.053725529
105	8.043440368
106	8.030528174
107	8.020515766
108	8.000393716
109	7.979759697
110	7.968270812
111	7.957022396
112	7.947108081
113	7.935237964
114	7.91921514
115	7.908421744
116	7.893011548
117	7.883093615
118	7.874354511
119	7.865942131
120	7.853836124
121	7.845257301
122	7.835901921
123	7.831606399
124	7.815893568
125	7.810737751
126	7.798470443
127	7.789882002
128	7.784138388
129	7.774881568
130	7.761208943
131	7.748236089
132	7.737030218
133	7.724549402
134	7.71516534
135	7.703785271
136	7.690905937
137	7.683936241
138	7.672870362
139	7.660921443
140	7.647688704
141	7.638634729
142	7.63248753
143	7.621533475
144	7.612667134
145	7.59822018
146	7.587763273
147	7.574320312
148	7.567507945
149	7.558059629
150	7.549266395
151	7.538672013
152	7.522543014
153	7.513163753
154	7.503669543
155	7.498147646
156	7.490832962
157	7.475778751
158	7.466933439
159	7.460201852
160	7.449623688
161	7.442875621
162	7.435269204
163	7.428190317
164	7.416793164
165	7.409559082
166	7.400937901
167	7.395758377
168	7.384942884
169	7.376081561
170	7.370261123
171	7.358129142
172	7.349273272
173	7.339004286
174	7.323491339
175	7.311179337
176	7.305453549
177	7.295937288
178	7.285896877
179	7.275940996
180	7.263575994
181	7.258389716
182	7.242799034
183	7.235519255
184	7.226096785
185	7.218544327
186	7.204999721
187	7.196285017
188	7.187835187
189	7.176033142
190	7.166784259
191	7.159231757
192	7.147924665
193	7.136567729
194	7.128607805
195	7.124205331
196	7.114702392
197	7.103085009
198	7.088244266
199	7.082760334
200	7.07406456
201	7.06303812
202	7.052757457
203	7.046523947
204	7.040967702
205	7.032607468
206	7.023613446
207	7.006702084
208	7.00045061
209	6.989590982
210	6.974399393
211	6.96861027
212	6.962407904
213	6.955070638
214	6.946519358
215	6.938711674
216	6.929106264
217	6.922622227
218	6.908511387
219	6.903337557
220	6.892160879
221	6.88545455
222	6.880780047
223	6.876102565
224	6.867793307
225	6.862754178
226	6.849943292
227	6.839560401
228	6.83522949
229	6.829095462
230	6.824871347
231	6.817158032
232	6.802150524
233	6.796744154
234	6.784587185
235	6.771528961
236	6.762763322
237	6.756180737
238	6.748627072
239	6.739662225
240	6.734937218
241	6.725407212
242	6.717954948
243	6.710304292
244	6.703046846
245	6.692910826
246	6.687051802
247	6.681872664
248	6.675238441
249	6.668661748
250	6.66206983
251	6.65560016
252	6.641915383
253	6.637909419
254	6.631493346
255	6.619753982
256	6.614962649
257	6.603157503
258	6.596785987
259	6.592260964
260	6.583363814
261	6.573424607
262	6.565462365
263	6.555682983
264	6.545065104
265	6.539455368
266	6.532455383
267	6.527622134
268	6.51873106
269	6.511972844
270	6.507863382
271	6.499361193
272	6.493970862
273	6.483863983
274	6.478103909
275	6.471548241
276	6.468117317
277	6.459924679
278	6.452115109
279	6.446640056
280	6.438497761
281	6.435842345
282	6.428346372
283	6.423012116
284	6.419696449
285	6.409849098
286	6.397901792
287	6.390053599
288	6.385659243
289	6.377810508
290	6.369602494
291	6.364298917
292	6.354260578
293	6.350815613
294	6.343379066
295	6.336178111
296	6.33296145
297	6.328952859
298	6.320489619
299	6.313026675
