iter	Passed	Remaining
0	2	664
1	4	600
2	5	573
3	7	555
4	9	531
5	10	521
6	12	508
7	13	498
8	15	492
9	16	488
10	18	480
11	19	478
12	21	472
13	23	473
14	24	470
15	26	467
16	28	466
17	29	465
18	31	463
19	33	462
20	34	462
21	36	460
22	38	459
23	39	457
24	41	456
25	43	453
26	44	453
27	46	451
28	48	448
29	49	447
30	51	445
31	53	445
32	54	444
33	56	442
34	58	441
35	60	441
36	61	439
37	63	438
38	65	436
39	66	434
40	68	432
41	70	432
42	71	430
43	73	428
44	75	427
45	76	424
46	78	422
47	80	422
48	82	420
49	83	418
50	85	416
51	86	414
52	88	413
53	90	411
54	91	409
55	93	407
56	95	405
57	97	404
58	98	404
59	100	403
60	102	402
61	104	401
62	106	399
63	107	397
64	109	396
65	111	394
66	112	391
67	114	389
68	115	387
69	117	385
70	118	383
71	120	381
72	121	379
73	123	377
74	125	375
75	126	372
76	127	370
77	129	368
78	131	366
79	132	364
80	134	362
81	135	360
82	137	358
83	138	356
84	140	354
85	141	352
86	143	350
87	144	347
88	145	346
89	147	343
90	148	341
91	150	339
92	151	338
93	153	336
94	155	334
95	156	332
96	158	330
97	159	328
98	161	327
99	162	325
100	164	323
101	165	321
102	167	319
103	168	317
104	170	315
105	171	314
106	173	312
107	174	310
108	176	309
109	177	307
110	179	305
111	180	303
112	182	301
113	184	300
114	185	299
115	187	297
116	189	295
117	190	293
118	191	291
119	193	290
120	194	288
121	196	286
122	198	285
123	199	283
124	201	281
125	202	279
126	204	277
127	205	276
128	206	274
129	208	272
130	209	270
131	211	268
132	212	267
133	214	265
134	215	263
135	217	261
136	218	260
137	220	258
138	221	256
139	223	255
140	224	253
141	226	251
142	227	250
143	229	248
144	231	247
145	232	245
146	234	243
147	235	242
148	237	240
149	238	238
150	240	236
151	241	235
152	243	233
153	244	232
154	246	230
155	248	229
156	250	227
157	251	226
158	253	224
159	254	222
160	256	221
161	257	219
162	259	217
163	260	216
164	262	214
165	263	212
166	265	211
167	266	209
168	268	207
169	269	206
170	271	204
171	272	202
172	274	201
173	275	199
174	277	198
175	278	196
176	280	194
177	281	193
178	283	191
179	284	189
180	285	187
181	287	186
182	288	184
183	290	183
184	291	181
185	293	179
186	294	178
187	296	176
188	297	174
189	299	173
190	300	171
191	302	169
192	303	168
193	304	166
194	306	165
195	307	163
196	309	161
197	310	160
198	312	158
199	313	156
200	315	155
201	316	153
202	318	152
203	319	150
204	321	148
205	322	147
206	324	145
207	325	143
208	326	142
209	328	140
210	329	139
211	331	137
212	333	136
213	334	134
214	335	132
215	337	131
216	339	129
217	340	128
218	341	126
219	343	124
220	344	123
221	346	121
222	347	119
223	348	118
224	350	116
225	351	115
226	353	113
227	354	111
228	355	110
229	357	108
230	358	107
231	360	105
232	361	104
233	363	102
234	364	100
235	365	99
236	367	97
237	368	96
238	370	94
239	371	92
240	372	91
241	374	89
242	375	88
243	377	86
244	378	85
245	380	83
246	381	81
247	383	80
248	384	78
249	386	77
250	387	75
251	389	74
252	390	72
253	392	71
254	393	69
255	395	67
256	396	66
257	398	64
258	400	63
259	401	61
260	403	60
261	404	58
262	406	57
263	407	55
264	409	54
265	410	52
266	412	50
267	413	49
268	415	47
269	416	46
270	418	44
271	419	43
272	421	41
273	422	40
274	424	38
275	425	37
276	426	35
277	428	33
278	429	32
279	431	30
280	432	29
281	434	27
282	435	26
283	436	24
284	438	23
285	439	21
286	440	19
287	442	18
288	443	16
289	445	15
290	446	13
291	448	12
292	449	10
293	450	9
294	452	7
295	453	6
296	454	4
297	456	3
298	457	1
299	458	0
