Model,MSE,RMSE,MAE,MAPE,R²,Explained Variance
Linear Regression,178.6143563452369,13.364668209321056,9.391798233849117,0.11798213460498523,0.8030815165323797,0.807230165053741
Ridge Regression,176.8142724318375,13.297152794182576,9.384055198236519,0.11770790836186842,0.8050660703028276,0.8096186187595772
Lasso Regression,179.53721624056553,13.399149832753029,9.481939048703774,0.11824760753083406,0.8020640833609388,0.806878110254037
ElasticNet,176.78873203579414,13.296192388642478,9.423398016751841,0.11794896277536339,0.8050942280397472,0.8101643910617521
Random Forest,218.32463690684327,14.77581256333618,9.603451277359909,0.1255418528991181,0.7593017869167441,0.7599010069806426
Gradient Boosting,161.04896155233513,12.690506749233268,8.982156997626193,0.11759551876127886,0.8224469862230834,0.8232496052225431
XGBoost,162.57309568497251,12.750415510287205,9.136552671965967,0.11816965983717453,0.8207666611465253,0.822574382270621
LightGBM,180.62024006425358,13.439502969390407,9.502943038308192,0.1217681419677102,0.8008700729057672,0.8026497391002816
CatBoost,172.89662096273176,13.14901596936941,9.468688940163512,0.11898064739789982,0.8093851967260132,0.8145337346462165
Neural Network,208.41608828654506,14.43662316078608,9.760477036599871,0.12679522389173936,0.7702257485041484,0.771570873983706
Enhanced LSTM,182.7022237994173,13.516738652478907,9.546860648645385,0.1241645096504945,0.798313280515657,0.7997358036523794
Enhanced Bidirectional LSTM,182.6503227106704,13.514818634027998,9.678507181657777,0.124645279077344,0.7983705746202898,0.8020731704016545
Stacking Regressor,161.73807265287888,12.717628420931273,9.017130391830223,0.11606094887184094,0.8216872560668048,0.8233392304675382
Weighted Ensemble,161.6947412154576,12.715924709412903,9.087005689846569,0.1162445924070652,0.8217350280439183,0.8243098062782203
