iter	RMSE
0	27.70454234
1	26.87884294
2	25.94090332
3	25.22014086
4	24.45237203
5	23.71851477
6	22.97206085
7	22.20245621
8	21.49197104
9	20.84675421
10	20.20806229
11	19.59753751
12	19.02122365
13	18.50271879
14	18.10608051
15	17.70113542
16	17.25967691
17	16.79900934
18	16.37590073
19	16.02977182
20	15.71293952
21	15.35379653
22	15.0160714
23	14.71203832
24	14.43402866
25	14.16923498
26	13.89115971
27	13.65385068
28	13.4075032
29	13.21688689
30	12.98494732
31	12.80256433
32	12.58485186
33	12.41338788
34	12.22583972
35	12.04419624
36	11.89092641
37	11.73879477
38	11.61394944
39	11.47662947
40	11.35118982
41	11.22950555
42	11.11055487
43	11.00740808
44	10.89995712
45	10.81206013
46	10.73279304
47	10.63733156
48	10.56213532
49	10.48460318
50	10.41408888
51	10.3365977
52	10.2663411
53	10.19177672
54	10.1239712
55	10.05770414
56	10.00010218
57	9.94135032
58	9.887592779
59	9.834564933
60	9.786944853
61	9.742464246
62	9.699528893
63	9.659245924
64	9.625514007
65	9.593108105
66	9.556551784
67	9.520308944
68	9.496003874
69	9.464566239
70	9.437032761
71	9.403080794
72	9.379907087
73	9.3543676
74	9.336794154
75	9.312619731
76	9.284295807
77	9.263760541
78	9.242641856
79	9.2240588
80	9.2053318
81	9.181583437
82	9.160809516
83	9.141445978
84	9.122444963
85	9.110228798
86	9.091012308
87	9.075212566
88	9.060802076
89	9.044359832
90	9.019432074
91	9.010180344
92	8.997482673
93	8.986846721
94	8.974910231
95	8.967134903
96	8.956838533
97	8.942930824
98	8.932846996
99	8.923201779
100	8.915958303
101	8.904046913
102	8.897057267
103	8.890657857
104	8.885566857
105	8.874963935
106	8.867626031
107	8.858329806
108	8.851940628
109	8.841616573
110	8.83514638
111	8.8285343
112	8.820149995
113	8.815588283
114	8.802560335
115	8.793251667
116	8.786640841
117	8.779513334
118	8.772997996
119	8.76266374
120	8.749611415
121	8.744727705
122	8.740056603
123	8.733754181
124	8.727140272
125	8.717562317
126	8.711098144
127	8.705005001
128	8.699019249
129	8.689647468
130	8.685075388
131	8.674776888
132	8.660215648
133	8.656077242
134	8.650648901
135	8.642194405
136	8.635581803
137	8.630213307
138	8.624757769
139	8.614281785
140	8.608541174
141	8.601233641
142	8.588799442
143	8.582826188
144	8.578102434
145	8.564879101
146	8.552144091
147	8.543087204
148	8.533338244
149	8.524377366
150	8.520830466
151	8.516501562
152	8.508794019
153	8.504194277
154	8.498853737
155	8.490587185
156	8.486653662
157	8.482183128
158	8.475797978
159	8.468177555
160	8.459198533
161	8.452498152
162	8.442450719
163	8.436477364
164	8.429626797
165	8.425737879
166	8.418079844
167	8.414620681
168	8.404533378
169	8.400676996
170	8.395821441
171	8.389740726
172	8.386276522
173	8.380438802
174	8.3767952
175	8.369331552
176	8.365332383
177	8.357963628
178	8.348226887
179	8.33882088
180	8.328327492
181	8.320653341
182	8.315320269
183	8.311384538
184	8.306163823
185	8.302018959
186	8.298370116
187	8.292226197
188	8.28323297
189	8.279925036
190	8.273785816
191	8.268542457
192	8.261775261
193	8.256056204
194	8.246391645
195	8.242937788
196	8.23724254
197	8.23080342
198	8.228174681
199	8.224990133
200	8.221138111
201	8.212329702
202	8.203095163
203	8.2000883
204	8.195024362
205	8.183000454
206	8.178181756
207	8.173154628
208	8.165466332
209	8.157082166
210	8.151004244
211	8.14660373
212	8.144101483
213	8.134047363
214	8.13155987
215	8.127130868
216	8.124272423
217	8.117696337
218	8.114780828
219	8.107741442
220	8.103056963
221	8.095514176
222	8.087184489
223	8.080657167
224	8.07529686
225	8.0663033
226	8.061005432
227	8.054236331
228	8.050383853
229	8.044915919
230	8.042863328
231	8.038433857
232	8.03232149
233	8.030092041
234	8.024681244
235	8.016688631
236	8.013833506
237	8.011220391
238	8.004537989
239	7.996307935
240	7.99288551
241	7.987562286
242	7.981513028
243	7.975526958
244	7.973032225
245	7.963588536
246	7.961046534
247	7.956113165
248	7.952562408
249	7.944624793
250	7.939558548
251	7.936485439
252	7.929167752
253	7.924692051
254	7.918664585
255	7.91568293
256	7.912341571
257	7.90176559
258	7.898003927
259	7.894493428
260	7.888081114
261	7.87840882
262	7.869628611
263	7.864368278
264	7.860510193
265	7.858494484
266	7.851726789
267	7.848927782
268	7.846930819
269	7.843199489
270	7.837174774
271	7.835766008
272	7.830345776
273	7.825869843
274	7.819918117
275	7.818020274
276	7.816021355
277	7.810825346
278	7.802585924
279	7.797840782
280	7.79338497
281	7.786407122
282	7.782346751
283	7.777808607
284	7.77223668
285	7.768122649
286	7.763076525
287	7.75807003
288	7.753529894
289	7.74985246
290	7.747881119
291	7.743264784
292	7.741226652
293	7.736959913
294	7.735175872
295	7.733488727
296	7.729670488
297	7.72582181
298	7.722502541
299	7.718332579
