iter	Passed	Remaining
0	0	205
1	1	183
2	1	171
3	2	165
4	2	162
5	3	159
6	3	157
7	4	156
8	4	154
9	5	153
10	5	152
11	6	154
12	7	154
13	7	154
14	8	153
15	8	154
16	9	154
17	9	155
18	10	156
19	11	156
20	11	156
21	12	157
22	13	160
23	14	163
24	15	165
25	15	166
26	16	166
27	17	167
28	17	166
29	18	165
30	19	165
31	19	164
32	20	164
33	20	163
34	21	163
35	22	163
36	22	162
37	23	162
38	24	162
39	24	162
40	25	161
41	26	161
42	26	160
43	27	160
44	28	159
45	28	159
46	29	158
47	30	157
48	30	157
49	31	157
50	32	156
51	32	155
52	33	155
53	33	154
54	34	154
55	35	153
56	35	152
57	36	152
58	37	151
59	37	151
60	38	150
61	39	150
62	39	149
63	40	148
64	40	148
65	41	147
66	42	146
67	42	146
68	43	145
69	44	145
70	44	144
71	45	143
72	45	142
73	46	141
74	47	141
75	47	140
76	48	139
77	48	139
78	49	138
79	50	137
80	50	136
81	51	136
82	51	135
83	52	135
84	53	134
85	53	133
86	54	133
87	55	132
88	55	131
89	56	131
90	56	130
91	57	129
92	57	128
93	58	128
94	59	127
95	59	126
96	60	125
97	60	124
98	61	124
99	61	123
100	62	123
101	63	122
102	63	121
103	64	121
104	64	120
105	65	119
106	66	119
107	66	118
108	67	117
109	67	117
110	68	116
111	69	115
112	69	115
113	70	114
114	70	114
115	71	113
116	72	112
117	72	111
118	73	111
119	73	110
120	74	110
121	74	109
122	75	108
123	76	108
124	76	107
125	77	106
126	77	105
127	78	105
128	78	104
129	79	104
130	80	103
131	80	102
132	81	102
133	81	101
134	82	100
135	83	100
136	83	99
137	84	99
138	84	98
139	85	97
140	86	97
141	86	96
142	87	95
143	87	95
144	88	94
145	88	93
146	89	93
147	90	92
148	90	91
149	91	91
150	92	90
151	92	90
152	93	89
153	94	89
154	94	88
155	95	87
156	95	87
157	96	86
158	97	86
159	97	85
160	98	85
161	99	84
162	99	83
163	100	83
164	100	82
165	101	81
166	102	81
167	102	80
168	103	80
169	104	79
170	104	79
171	105	78
172	106	77
173	106	77
174	107	76
175	107	75
176	108	75
177	109	74
178	109	74
179	110	73
180	110	72
181	111	72
182	112	71
183	112	71
184	113	70
185	113	69
186	114	69
187	115	68
188	115	68
189	116	67
190	117	66
191	117	66
192	118	65
193	118	64
194	119	64
195	120	63
196	120	63
197	121	62
198	121	61
199	122	61
200	123	60
201	124	60
202	124	59
203	125	58
204	125	58
205	126	57
206	126	57
207	127	56
208	128	55
209	128	55
210	129	54
211	130	54
212	130	53
213	131	52
214	131	52
215	132	51
216	133	50
217	133	50
218	134	49
219	134	49
220	135	48
221	136	47
222	136	47
223	137	46
224	137	45
225	138	45
226	139	44
227	139	44
228	140	43
229	141	42
230	141	42
231	142	41
232	142	41
233	143	40
234	144	39
235	144	39
236	145	38
237	146	38
238	146	37
239	147	36
240	148	36
241	148	35
242	149	35
243	150	34
244	150	33
245	151	33
246	152	32
247	153	32
248	153	31
249	154	30
250	155	30
251	155	29
252	156	29
253	156	28
254	157	27
255	158	27
256	158	26
257	159	25
258	160	25
259	160	24
260	161	24
261	161	23
262	162	22
263	163	22
264	163	21
265	164	21
266	165	20
267	165	19
268	166	19
269	167	18
270	167	17
271	168	17
272	169	16
273	169	16
274	170	15
275	170	14
276	171	14
277	172	13
278	172	12
279	173	12
280	173	11
281	174	11
282	175	10
283	175	9
284	176	9
285	176	8
286	177	8
287	178	7
288	178	6
289	179	6
290	180	5
291	180	4
292	181	4
293	181	3
294	182	3
295	183	2
296	183	1
297	184	1
298	185	0
299	185	0
